favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
85,Twitter Web Client,"Russia uses IS to fight for them, Putin supplies IS with fighters, Russia funds Islamist Iran, AQ in Afghanistan. R… https://t.co/lMOngZvNln",,False,Mon Feb 13 02:59:44 +0000 2017,58,830974712582963201
12,Twitter Web Client,"@CatchaRUSSpy his motivation is the M and the E, and of course at this point the C.
He has enough intel about him to know Putin 💓 Iran, IS.",CatchaRUSSpy,False,Mon Feb 13 03:01:45 +0000 2017,7,830975218705383424
67,Twitter Web Client,"No plausible deniability whatsoever.

MKATE/ Tarmac meetings in Charlotte, Vegas etc. 
None.
Meeting… https://t.co/q117VqPraB",,False,Mon Feb 13 03:04:48 +0000 2017,44,830975984505593857
13,Twitter Web Client,"LOL
Nick Jonas",,False,Mon Feb 13 03:06:18 +0000 2017,0,830976362785681408
60,Twitter Web Client,"METALLICA 

GAGA
#MetalliGA
\m/ \m/ \m/ \m/ \m/ \m/ \m/",,False,Mon Feb 13 03:08:19 +0000 2017,8,830976869478588416
83,Twitter Web Client,"#Metallica #MetalliGA - Gaga looks fucking GREAT as a rock chick and I should know 

\m/ \m/ \m/ #GRAMMYs",,False,Mon Feb 13 03:09:33 +0000 2017,13,830977182377861120
35,Twitter Web Client,"this is fucking awesome

#MetalliGA #Metallica \m/ \m/ \m/ #Gaga",,False,Mon Feb 13 03:10:13 +0000 2017,5,830977348849827840
63,Twitter Web Client,"#Gaga should just wear #Metallica gear all the time
she looks hot AF 
#MetalliGA 
#Hetfield #Kirk #GRAMMYs @maindepowr",,False,Mon Feb 13 03:11:14 +0000 2017,11,830977604278689793
20,Twitter Web Client,"GO ON LADS
#Gaga #MetallicGA #Metallica #whatarecord",,False,Mon Feb 13 03:12:01 +0000 2017,4,830977803143278592
38,Twitter Web Client,well done Lars mate fucking smashed that shit,,False,Mon Feb 13 03:12:17 +0000 2017,6,830977869170036736
15,Twitter Web Client,Boss tattoo @ladygaga #MetalliGA #MothIntoFlame #Metallica #GRAMMYs https://t.co/pjHp07pSlp,,False,Mon Feb 13 03:14:58 +0000 2017,6,830978545983823873
28,Twitter Web Client,.@BenjaminChemist #MothIntoFlame and @ladygaga guested and fucking knocked it out of the park #Metallica,BenjaminChemist,False,Mon Feb 13 03:15:52 +0000 2017,3,830978770169364480
81,Twitter Web Client,"Yes 
#MothIntoFlame #Metallica #MetalliGA and it was fucking EPIC
forgot Russia for four solid minutes 
\m/ https://t.co/ihgEJtekHa",,False,Mon Feb 13 03:17:03 +0000 2017,3,830979067184820224
31,Twitter Web Client,"LOL

that's not ""pissed off""
guessing you don't go to many #Metallica gigs \m/ https://t.co/2P1h5jQ9th",,False,Mon Feb 13 03:19:23 +0000 2017,1,830979656119623680
111,Twitter Web Client,"'You'd best start believing in ghost stories, Miss Swan.
You're in one.' 
#PiratesoftheCaribbean https://t.co/h9lQd8h01R",,False,Mon Feb 13 03:22:13 +0000 2017,45,830980367725256704
90,Twitter Web Client,"Look mate,

you're going to home to a shite Russian breeze block because Putin plays terrible chess.

still, there'… https://t.co/NGOhpKtmRt",,False,Mon Feb 13 03:24:35 +0000 2017,19,830980964654399488
46,Twitter Web Client,"some great ass Rock photography there, Halfin-worthy https://t.co/U6KV8hB8jp",,False,Mon Feb 13 03:40:26 +0000 2017,10,830984952980320256
94,Twitter Web Client,"No Mic No Problem #Metallica smashed it with Gaga what a performance
two monsters, one mic
getting out all my old shirts &amp; fishnets tmrw!",,False,Mon Feb 13 03:43:31 +0000 2017,12,830985731183087621
